timestamp,flow_id,path_links,end_to_end_latency_ms,end_to_end_jitter_ms,throughput_mbps,delivered_bytes_interval,dropped_bytes_interval,sla_met,phase
0,FL1,L1,50.14366708730881,4.107839977200232,18.554770729374898,11568696.509482026,28035.196377285614,1,pre_disaster
5,FL1,L1,49.82772549920236,0.9027969535169658,22.350462629338715,13851262.88712571,117776.25621098602,1,pre_disaster
10,FL1,L1,45.07433138908091,3.0117204390315004,20.99582995106886,13113694.192669,8699.526749036826,1,pre_disaster
15,FL1,L1,50.10682547607643,1.3111310161530785,27.222219808435838,16860401.33123586,153486.04903653872,1,pre_disaster
20,FL1,L1,42.06101222470718,1.4432702504293973,24.348680863014394,15138436.419000719,79489.12038327724,1,pre_disaster
25,FL1,L1,49.79172997954367,0.7326479509897725,24.994424485220662,15420404.951411711,201110.35185120418,0,pre_disaster
30,FL1,L1,41.69237684428844,1.0259765182922622,18.84460192262074,11714419.726234427,63456.475403536664,1,pre_disaster
35,FL1,L1,48.267277419719264,0.1,24.48392939023935,15167812.724132417,134643.1447671788,1,pre_disaster
40,FL1,L1,44.338250919806235,1.0593810851095118,30.604832058766835,18976746.502964802,151273.53376447046,1,pre_disaster
45,FL1,L1,47.6195532709747,0.3945902559840353,22.437670830738593,13851438.439161012,172105.83005060794,0,pre_disaster
50,FL1,L1,47.34701635425188,0.8714447374668228,31.918072843576454,19686103.0094407,262692.5177945831,0,pre_disaster
55,FL1,L1,42.22826794161995,1.667524724648586,24.906020799863203,15459580.832430623,106682.16748387984,1,pre_disaster
60,FL1,L1,47.60860142752038,1.7992781144314194,23.452117730514274,14530732.975532038,126840.6060393834,1,pre_disaster
65,FL1,L1,48.77813734183423,2.499740144865173,28.65913920754688,17866758.738275092,45203.26644170711,1,pre_disaster
70,FL1,L1,49.54306380844753,0.750113423053063,26.79049214770299,16715691.697330665,28365.894983704653,1,pre_disaster
75,FL1,L1,44.69424806331655,3.8059701099324745,28.40325282182439,17633724.543909736,118308.46973050524,1,pre_disaster
80,FL1,L1,46.819535695793164,1.1992721666796367,21.515562031468914,13280582.86225522,166643.40741285196,0,pre_disaster
85,FL1,L1,47.70992603751046,3.5445444514561384,17.365253283901616,10729216.828616034,124066.47382247672,0,pre_disaster
90,FL1,L1,45.47964560410835,0.968100016500878,25.13862202385003,15610251.676629197,101387.08827706905,1,pre_disaster
95,FL1,L1,48.00268184991341,1.4693254402263758,29.092651776127475,18053494.105624765,129413.2544549083,1,pre_disaster
100,FL1,L1,48.56433317226082,2.0885185103733557,19.408032212153216,12022622.050220173,107398.08237558656,1,pre_disaster
105,FL1,L1,50.91210468133936,0.9049735425730825,26.324284339697872,16445341.404196328,7336.308114842441,1,pre_disaster
110,FL1,L1,45.7857747106151,3.672834049222523,24.82350866356635,15485964.689242942,28728.22548602639,1,pre_disaster
115,FL1,L1,47.550371235561876,3.4719293689732718,27.353081291804266,17068991.00640794,26684.80096972622,1,pre_disaster
120,FL1,L1,38.36916923670883,2.670906855860543,22.714433299378612,14026347.129366381,170173.68274525,0,pre_disaster
125,FL1,L1,44.694352111937114,1.021942293915716,19.099202217296906,11783501.903318465,153499.48249209955,0,pre_disaster
130,FL1,L1,46.1048023641559,1.114274135030989,21.13905946149207,13111001.369442884,100910.79398965811,1,pre_disaster
135,FL1,L1,45.31732820328401,1.7820537378970582,29.090284325839132,18115549.487362497,65878.21628695932,1,pre_disaster
140,FL1,L1,46.18500909319615,1.8799903849367363,24.773124145109655,15252301.538403457,230901.0522900773,0,pre_disaster
145,FL1,L1,46.32219159916215,1.7933376968024335,22.12896075140444,13622715.312965102,207885.15666267075,0,pre_disaster
150,FL1,L1,47.96227439252648,1.9555425226104735,28.947578172227516,17998180.831276413,94055.52636578356,1,pre_disaster
155,FL1,L1,45.51648071220597,0.5839177474780699,22.69754614683775,14031579.194748856,154387.1470247392,0,pre_disaster
160,FL1,L1,46.586502134983,2.2536596576294974,16.497808799627187,10175413.478165383,135717.02160160997,0,pre_disaster
165,FL1,L1,44.057230617623404,2.003645154973778,19.89668105810976,12247621.348328223,187804.31299037763,0,pre_disaster
170,FL1,L1,45.56191209293408,1.8117349375660023,20.928922000881983,13034328.226294266,46248.02425697327,1,pre_disaster
175,FL1,L1,43.74481653735831,0.6253120289777807,21.976631029857217,13734152.979900332,1241.4137604297089,1,pre_disaster
180,FL1,L1,47.326731582316334,0.8603348553703554,26.262333788434518,16340779.35991341,73179.25785816247,1,pre_disaster
185,FL1,L1,47.30884356589538,1.565833479748409,27.53273807759217,17195950.327919785,12010.970575321468,1,pre_disaster
190,FL1,L1,47.51446289686318,2.691711987306081,23.00801063100377,14170384.707550481,209621.93682687465,0,pre_disaster
195,FL1,L1,48.12332411762098,1.8008876172427477,31.21820661283144,19467231.564256832,44147.56876281587,1,pre_disaster
200,FL1,L1,45.64946388395787,2.045998121246947,16.216127534900163,10023918.162074955,111161.5472376485,0,pre_disaster
205,FL1,L1,47.64874066354609,1.6810430109004042,24.780447644349067,15402141.90655601,85637.87116215665,1,pre_disaster
210,FL1,L1,47.48854229694659,0.544581202733943,20.89086947198851,12925547.01080705,131246.4091857683,0,pre_disaster
215,FL1,L1,48.569172015388624,1.9194167779570492,31.35053373073529,19419014.55548512,175069.02622443667,1,pre_disaster
220,FL1,L1,45.835941690471934,2.000190421150756,31.01587033959296,19243147.11982103,141771.8424245674,1,pre_disaster
225,FL1,L1,45.9767673256917,1.4164632832923432,29.884598336494317,18572091.389029708,105782.57127924175,1,pre_disaster
230,FL1,L1,47.04884175096709,2.5479023627708837,25.8677443908575,15945010.956472116,222329.28781382184,0,pre_disaster
235,FL1,L1,42.70095900906083,0.6735122149460593,28.237525023901846,17543809.63260178,104643.5073368733,1,pre_disaster
240,FL1,L1,45.56387074732535,2.699113686689085,20.498182784653938,12687711.823224273,123652.41718443877,1,pre_disaster
245,FL1,L1,42.58754373148419,0.8156726614883363,29.323817613882163,18081470.36700395,245915.6416723993,0,pre_disaster
250,FL1,L1,46.075676971919364,2.524710439746343,17.980749263375614,11196089.554223014,41878.735386743356,1,pre_disaster
255,FL1,L1,41.38001983500085,3.2533359468559953,19.170519816207918,11878699.12008638,102875.76504356998,1,pre_disaster
260,FL1,L1,44.233233472795895,1.0994833587374857,25.098707036554185,15509731.480162982,176960.41768338258,0,pre_disaster
265,FL1,L1,51.968514992044675,2.415694539892434,25.436233845814535,15677114.117484264,220532.03614981862,0,pre_disaster
270,FL1,L1,48.78614612246407,2.723843377707787,29.29598563040044,18254186.44346726,55804.57553301703,1,pre_disaster
275,FL1,L1,44.2280869105175,2.7506099168684814,31.43814853263695,19549459.267984305,99383.56491378932,1,pre_disaster
280,FL1,L1,48.52564976420921,3.0548350103484267,23.665762140092585,14745143.589117512,45957.74844035404,1,pre_disaster
285,FL1,L1,45.59514580074885,1.3303528523564754,23.99566819668064,14781898.372002428,215394.25092297065,0,pre_disaster
290,FL1,L1,42.74675695396011,1.4220477474971416,19.600161503260974,12171629.93727147,78471.00226663706,1,pre_disaster
295,FL1,L1,41.074907818251354,1.65139248526149,21.15004043945599,13031231.118841674,187544.15581831944,0,pre_disaster
300,FL1,L1,37.882708261776386,1.1856362665387266,16.746276787237488,10460641.163313854,5781.8287095764545,1,pre_disaster
305,FL1,L1,46.76839010694259,2.5412312971976725,25.93931939838376,16121125.45375691,90949.17023294064,1,pre_disaster
310,FL1,L1,45.04244488476944,0.950742891391952,24.288716624130544,14981126.330990395,199321.5590911954,0,pre_disaster
315,FL1,L1,46.24004565728095,2.179751565771315,22.619234886474207,13995998.14896437,141023.65508200973,1,pre_disaster
320,FL1,L1,45.738258165933196,1.6452185413751457,22.506366363774703,14008401.984842606,58076.992516582635,1,pre_disaster
325,FL1,L1,43.46836783563387,4.056467341225222,22.07756823266929,13709604.189018259,88875.95640004726,1,pre_disaster
330,FL1,L1,46.903515430773076,0.21932745904490147,17.595011149824447,10978637.61677606,18244.351864219156,1,pre_disaster
335,FL1,L1,51.57323661293627,1.032255604300522,20.0361663502027,12342973.581578068,179630.38729861702,0,pre_disaster
340,FL1,L1,46.156617636643766,2.799190472582503,24.827121214020003,15428429.995760167,88520.76300233486,1,pre_disaster
345,FL1,L1,42.70430646321558,2.6907772729156427,18.257767442136306,11276681.15318019,134423.498155001,0,pre_disaster
350,FL1,L1,42.203919500933274,2.594893865235863,21.71593718020951,13426984.39260016,145476.3450307854,0,pre_disaster
355,FL1,L1,45.30284325031419,2.1094031564412625,19.794138206211546,12228304.958315955,143031.42056625846,0,pre_disaster
360,FL1,L1,50.24061170790523,2.829573485291503,16.926788646551696,10470142.4788043,109100.42529051045,0,pre_disaster
365,FL1,L1,41.019799292134714,1.5924874076085311,18.201472650066,11235694.619594023,140225.78669722754,0,pre_disaster
370,FL1,L1,45.87356592240281,2.773694339908641,19.516421670776673,12059631.839579344,138131.70465607487,0,pre_disaster
375,FL1,L1,46.315131951679014,2.9768129824696103,21.009963455775967,13046134.219411608,85092.94044837417,1,pre_disaster
380,FL1,L1,50.55888698730884,2.0814970628710165,30.93424328847927,19081721.48527309,252180.57002645516,0,pre_disaster
385,FL1,L1,49.38402500250415,0.2910082234507967,31.10256448181131,19308631.496066883,130471.30506518368,1,pre_disaster
390,FL1,L1,53.3982804348324,1.5539173990673465,32.06220268134542,19915529.258891866,123347.41694901924,1,pre_disaster
395,FL1,L1,44.27546775451311,0.915231228746918,20.665165877047755,12886711.995640235,29016.677514611154,1,pre_disaster
400,FL1,L1,44.76559400425024,2.0257962820133244,26.004159585321833,16009720.33438071,242879.40644543464,0,pre_disaster
405,FL1,L1,42.89940192818307,3.520166442206532,25.161893950385448,15693734.904453889,32448.814537015824,1,pre_disaster
410,FL1,L1,42.849372819722994,2.788859181176706,24.743493385214727,15341239.143641297,123444.22211790767,1,pre_disaster
415,FL1,L1,49.85247624398813,1.4491067948828578,16.70843600333291,10343047.851639748,99724.6504433218,1,pre_disaster
420,FL1,L1,46.950369300985095,3.087679515603358,24.304400207330183,15149630.615108619,40619.51447274584,1,pre_disaster
425,FL1,L1,46.72926992323322,0.7374562572161802,20.092377204627873,12484065.688749533,73670.06414288592,1,pre_disaster
430,FL1,L1,49.52516724082503,2.0760927954078285,16.655358789891157,10327163.04101328,82436.20266869378,1,pre_disaster
435,FL1,L1,46.223125347969024,3.448903611625761,21.21574940058697,13170734.054356141,89109.3210107136,1,pre_disaster
440,FL1,L1,46.131078091184925,2.486605878835208,26.521612056296863,16353156.4253263,222851.10985923812,0,pre_disaster
445,FL1,L1,49.178744303042876,2.6130677280288435,25.83069770576076,15964184.199020594,180001.86707988096,0,pre_disaster
450,FL1,L1,50.719466108603136,2.080344658785547,23.576602312729218,14680928.558068808,54447.8873869515,1,pre_disaster
455,FL1,L1,43.4513522942674,1.752378621306383,23.272476820223318,14429005.636010244,116292.37662932905,1,pre_disaster
460,FL1,L1,44.99054788296753,2.047084045722194,27.377632696342264,17102714.423817806,8306.011396109676,1,pre_disaster
465,FL1,L1,53.09314144499638,1.4290419131425702,19.679184176577937,12213972.199455012,85517.91090620028,1,pre_disaster
470,FL1,L1,47.24626785584731,1.2823071436622078,23.742664612765044,14795828.268330062,43337.114648091316,1,pre_disaster
475,FL1,L1,47.27585786205241,1.8579492728708171,18.69847412261142,11525015.436153112,161530.89047902526,0,pre_disaster
480,FL1,L1,47.118729749047766,3.6258096954586314,30.262012511295325,18645756.84451594,268000.9750436401,0,pre_disaster
485,FL1,L1,50.12357715958406,3.3374538256412127,18.97829664721482,11802452.812118111,58982.59239114956,1,pre_disaster
490,FL1,L1,43.93755865056067,0.691442200169222,23.512073057212632,14481806.993129162,213238.66762873254,0,pre_disaster
495,FL1,L1,43.075587685436986,2.5685042066678756,31.268920253385385,19513893.18019384,29181.978172021092,1,pre_disaster
500,FL1,L1,45.97398446461981,2.0307400742130057,28.98545866108489,18053773.983707543,62137.67947051435,1,pre_disaster
505,FL1,L1,39.974216702776,1.273885972482654,17.973863282909914,11186814.548551671,46850.00326702501,1,pre_disaster
510,FL1,L1,44.995756208310745,1.4868389842336946,28.396303172769503,17570747.951637514,176941.53134342225,1,pre_disaster
515,FL1,L1,47.738423550018425,0.5821055119703307,31.658036738421444,19609450.049402867,176822.91211053895,1,pre_disaster
520,FL1,L1,48.05429550681592,4.582782694935338,17.798219193907368,10994525.612132652,129361.38405945312,0,pre_disaster
525,FL1,L1,46.33548927672646,2.631948284009333,22.014191026009485,13690165.467565648,68703.92369028083,1,pre_disaster
530,FL1,L1,50.3413725491081,1.4194382817238491,29.67419084932484,18422132.99411977,124236.28670825576,1,pre_disaster
535,FL1,L1,37.97677470264877,0.41279357321236954,31.27590681197689,19468861.368430845,78580.38905470875,1,pre_disaster
540,FL1,L1,43.64182907270376,1.8740199033279166,20.46036144398195,12747510.763477497,40215.13901122113,1,pre_disaster
545,FL1,L1,49.81531997522333,1.3172352801626284,30.097288443090772,18674623.270949036,136182.00598269538,1,pre_disaster
550,FL1,L1,47.9206363068472,0.6790839356295781,31.302005646966983,19311594.697091926,252158.8322624364,0,pre_disaster
555,FL1,L1,41.92218052456904,2.006029327171035,26.135201714783665,16186779.567565857,147721.50417393507,1,pre_disaster
560,FL1,L1,44.95384261558269,2.122579809312745,19.24692806481358,11904187.569615649,125142.47089283857,0,pre_disaster
565,FL1,L1,50.333005680985714,2.21639656827201,17.75743763510825,10953250.82246927,145147.69947338695,0,pre_disaster
570,FL1,L1,43.28242996783106,3.042346698455588,20.57615083416619,12670114.541197075,189979.73015679323,0,pre_disaster
